Âge;Observations;;Coefficient d'évolution 2006 - 2016;Scénarios de projection;;;
(atteint dans l'année);2006;Hypothèse constante 2016;;Hypothèse continue;Hypothèse centrale;Hypothèse basse;Hypothèse haute
15 ans;1;1;0,78;1;1;1;1
16 ans;2;2;0,88;2;2;2;2
17 ans;6;5;0,82;4;4;4;4
18 ans;12;8;0,72;6;6;6;7
19 ans;22;17;0,76;12;13;12;14
20 ans;33;26;0,77;20;20;19;22
21 ans;44;36;0,81;29;30;28;32
22 ans;56;46;0,81;37;38;35;41
23 ans;69;56;0,82;46;47;44;51
24 ans;85;69;0,81;56;58;54;62
25 ans;102;85;0,84;72;74;68;80
26 ans;119;101;0,85;86;89;82;95
27 ans;136;118;0,86;102;105;97;113
28 ans;147;131;0,90;118;121;112;130
29 ans;152;139;0,91;127;131;121;141
30 ans;150;142;0,95;134;138;128;149
31 ans;144;141;0,98;138;142;131;153
32 ans;131;133;1,02;135;139;129;150
33 ans;116;122;1,05;129;132;122;143
34 ans;101;108;1,08;116;120;111;129
35 ans;86;94;1,09;103;106;98;114
36 ans;73;83;1,14;95;98;90;105
37 ans;59;68;1,17;80;82;76;88
38 ans;46;56;1,21;67;69;64;75
39 ans;36;44;1,22;54;55;51;60
40 ans;26;33;1,26;42;43;40;46
41 ans;19;24;1,27;31;32;29;34
42 ans;12;16;1,32;21;21;20;23
43 ans;7;10;1,37;13;14;13;15
44 ans;4;6;1,44;8;8;8;9
45 ans;2;3;1,61;5;5;4;5
46 ans;1;2;1,50;2;2;2;2
47 ans;0;1;1,75;1;1;1;1
48 ans;0;0;2,00;1;1;1;1
49 ans;0;0;2,00;0;0;0;0
50 ans;0;0;1,00;0;0;0;0
TOTAL;1997;1925;;1893;1950;1800;2100
